rank,nome,nota
883,The Mind,6.78
884,The Palaces of Carrara,7.15
885,Ca$h 'n Guns: Second Edition,6.84
886,Three Sisters,7.63
887,Thunderstone,6.91
888,Khôra: Rise of an Empire,7.46
889,Tinners' Trail,7.22
890,Roll Through the Ages: The Bronze Age,6.86
891,Catacombs (Third Edition),7.50
892,San Marco,7.17
893,Werewords,7.14
894,Qwixx,6.86
895,Akrotiri,7.19
896,Brew Crafters,7.40
897,Last Night on Earth: The Zombie Game,6.91
898,Signorie,7.40
899,Red Rising,7.06
900,Formula Dé,6.99
901,Mahjong,7.04
902,Pictomania,7.27
903,Kitchen Rush,7.26
904,Mosaic: A Story of Civilization,7.69
905,Lovecraft Letter,7.22
906,Luxor,7.20
907,Roam,7.33
908,"Unmatched: Battle of Legends, Volume Two",8.37
909,Abomination: The Heir of Frankenstein,7.46
910,Coffee Roaster,7.38
911,Zombicide: Invader,7.83
912,Genoa,7.05
913,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.51
914,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.94
915,Dinosaur World,7.42
916,Palm Island,7.10
917,Virgin Queen,8.02
918,Ohanami,7.32
919,Call to Adventure,7.12
920,Maharaja: The Game of Palace Building in India,7.11
921,Homesteaders,7.20
922,Bridge,7.46
923,Nightmare Productions,7.06
924,Warhammer Underworlds: Shadespire,7.65
925,Unlock!: Epic Adventures,7.76
926,Tragedy Looper,7.18
927,Thunder Alley,7.31
928,Lanterns: The Harvest Festival,6.88
929,Clever Cubed,7.54
930,High Frontier 4 All,8.47
931,Black Sonata,7.49
932,The Others,7.33
933,Istanbul: The Dice Game,7.16
934,Wasteland Express Delivery Service,7.35
935,Jaws,7.13
936,Legendary: A Marvel Deck Building Game – Villains,7.54
937,Adrenaline,7.00
938,Tak,7.60
939,Louis XIV,7.05
940,Caylus 1303,7.49
941,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
942,Core Worlds,7.16
943,Smash Up: Science Fiction Double Feature,7.26
944,Heroscape Master Set: Swarm of the Marro,7.63
945,DinoGenics,7.62
946,Attika,6.99
947,Tiny Epic Dungeons,7.58
948,Qwirkle,6.78
949,Kingsburg (Second Edition),7.42
950,Tiny Epic Quest,6.99
951,Zooloretto,6.80
952,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.10
953,Snow Tails,6.97
954,Web of Power,7.30
955,Verdant,7.45
956,Meeple Circus,7.05
957,Britannia,7.19
958,Orchard: A 9 card solitaire game,7.38
959,Brazil: Imperial,7.72
960,Concept,6.77
961,Lowlands,7.41
962,The Castles of Burgundy: The Card Game,6.96
963,5-Minute Dungeon,6.95
964,Santa Monica,7.22
965,Ascension: Storm of Souls,7.28
966,Fabled Fruit,7.00
967,Summoner Wars: Guild Dwarves vs Cave Goblins,7.56
968,Condottiere,6.87
969,Tidal Blades: Heroes of the Reef,7.56
970,Legacy: The Testament of Duke de Crecy,7.14
971,Age of Industry,7.35
972,Hawaii,7.12
973,Feed the Kraken,7.95
974,DC Comics Deck-Building Game,7.03
975,The Grimm Forest,7.09
976,Cat Lady,7.04
977,Trekking Through History,7.79
978,Gold West,7.32
979,Ready Set Bet,7.68
980,Unmatched Game System,8.29
981,Tiny Epic Dinosaurs,7.35
982,Star Wars: The Clone Wars,7.69
983,Flick 'em Up!,6.87
984,First Rat,7.65
985,Herbaceous,7.04
986,Riverboat,7.44
987,Rivals for Catan,6.96
988,Manila,6.98
989,La Città,7.02
990,Antike,7.08
991,The Speicherstadt,7.02
992,Star Trek: Frontiers,7.84
993,Skymines,8.14
994,Discoveries: The Journals of Lewis & Clark,7.04
995,Ascension: Return of the Fallen,7.28
996,History of the World,7.12
997,Roll Player Adventures,8.26
998,Automobiles,7.22
999,Yedo: Deluxe Master Set,7.98
1000,Wildlands,7.28
1001,Irish Gauge,7.26
1002,Black Fleet,7.00
1003,Legendary Encounters: A Predator Deck Building Game,7.42
1004,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.61
1005,Empires of the Void II,7.48
1006,Winner's Circle,6.99
1007,World's Fair 1893,7.16
1008,Reavers of Midgard,7.40
1009,Star Wars: The Queen's Gambit,7.57
1010,Majesty: For the Realm,6.94
1011,Cottage Garden,6.86
1012,Era: Medieval Age,7.22
1013,Unsettled,8.07
1014,Ticket to Ride: London,7.12
1015,Mr. Jack Pocket,6.85
1016,Ecos: First Continent,7.15
1017,Rajas of the Ganges: The Dice Charmers,7.57
1018,The City of Kings,7.56
1019,Mint Works,6.94
1020,"Hey, That's My Fish!",6.69
1021,A Study in Emerald,7.20
1022,Fields of Green,7.15
1023,Railroad Revolution,7.34
1024,Cockroach Poker,6.78
1025,Moonrakers,7.78
1026,Wiz-War (Eighth Edition),7.05
1027,Container: 10th Anniversary Jumbo Edition!,7.67
1028,Valley of the Kings,7.02
1029,Little Town,7.21
1030,ICECOOL,6.80
1031,Smash Up: Pretty Pretty Smash Up,7.24
1032,Ticket to Ride: New York,6.94
1033,Outfoxed!,7.17
1034,Firenze,7.23
1035,Dice Town,6.86
1036,Polis: Fight for the Hegemony,7.53
1037,Falling Sky: The Gallic Revolt Against Caesar,7.85
1038,"Warhammer 40,000: Conquest",7.36
1039,Marvel Dice Masters: Uncanny X-Men,7.16
1040,Archaeology: The New Expedition,7.13
1041,Zombicide Season 3: Rue Morgue,7.52
1042,Top Ten,7.52
1043,Merchant of Venus (Second Edition),7.14
1044,Nations: The Dice Game,6.95
1045,Islebound,7.17
1046,A Distant Plain,7.83
1047,Space Hulk (Fourth Edition),7.94
1048,Merchants of the Dark Road,7.42
1049,NMBR 9,6.87
1050,Paper Tales,7.03
1051,Imperial Steam,7.85
1052,The Lord of the Rings,6.74
1053,CO₂,7.11
1054,Arkham Horror: The Card Game (Revised Edition),8.75
1055,The Reckoners,7.69
1056,Super Fantasy Brawl,7.72
1057,Alma Mater,7.39
1058,Shikoku 1889,7.94
1059,Fauna,7.03
1060,Via Nebula,7.03
1061,Startups,7.18
1062,Tales & Games: The Hare & the Tortoise,7.08
1063,Codex Naturalis,7.24
1064,Rallyman: GT,7.22
1065,Caesar!: Seize Rome in 20 Minutes!,7.67
1066,Quarto,6.89
1067,Metropolys,7.04
1068,Linko!,6.99
1069,Rex: Final Days of an Empire,7.06
1070,Explorers of the North Sea,7.29
1071,The Big Book of Madness,6.91
1072,Wilderness War,7.72
1073,Ghost Fightin' Treasure Hunters,7.15
1074,Smash Up: Monster Smash,7.26
1075,Zendo,7.22
1076,Loony Quest,6.89
1077,When I Dream,6.98
1078,CuBirds,6.93
1079,Two Rooms and a Boom,6.99
1080,Hardback,7.19
1081,Runebound: Second Edition,6.89
1082,Tide of Iron,7.20
1083,Thunderstone: Dragonspire,7.32
1084,Vinci,7.07
1085,Dream Home,6.88
1086,Axis & Allies Anniversary Edition,7.43
1087,Smash Up,6.71
1088,Stronghold,7.14
1089,Star Wars: Legion,8.03
1090,Terror in Meeple City,6.83
1091,Netrunner,7.44
1092,Tsuro,6.66
1093,Tawantinsuyu: The Inca Empire,7.46
1094,Spicy,7.17
1095,Mr. Jack in New York,7.19
1096,Quarriors!,6.74
1097,Ambush!,7.50
1098,Batman: Gotham City Chronicles,7.64
1099,Ikusa,7.03
1100,Set a Watch,7.26
1101,China,6.98
1102,Men at Work,7.24
1103,The Castles of Tuscany,7.25
1104,Merlin,7.12
1105,The Prodigals Club,7.30
1106,Small World of Warcraft,7.36
1107,Oriflamme,7.13
1108,Coconuts,7.03
1109,Pictomania (Second Edition),7.59
1110,Eight-Minute Empire: Legends,6.93
1111,Haggis,6.99
1112,Mottainai,7.02
1113,Shadow Hunters,6.82
1114,Jekyll vs. Hyde,7.29
1115,Animal Upon Animal,6.79
1116,Next Station: London,7.45
1117,Conspiracy: Abyss Universe,7.28
1118,BattleCON: War of Indines,7.66
1119,Wendake,7.49
1120,Mille Fiori,7.43
1121,Automania,7.32
1122,Battle Cry,7.15
1123,Diamonds: Second Edition,6.90
1124,Botanik,7.69
1125,Insider,7.05
1126,Shadowrun: Crossfire,7.13
1127,Faiyum,7.53
1128,Jump Drive,6.98
1129,Three Kingdoms Redux,7.88
1130,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.79
1131,Chimera Station,7.24
1132,Quartermaster General,7.32
1133,Dead Men Tell No Tales,7.12
1134,Smart10,7.51
1135,Witness,7.25
1136,Encore!,6.97
1137,Battles of Westeros,7.25
1138,Loopin' Louie,6.75
1139,Deep Space D-6,7.18
1140,Legacy of Dragonholt,7.23
1141,Yggdrasil,7.03
1142,Domaine,6.98
1143,Honshū,6.92
1144,Sushi Roll,7.05
1145,Obscurio,7.15
1146,On Tour,6.97
1147,Unlock!: Escape Adventures – Squeek & Sausage,7.17
1148,Catan Card Game,6.71
1149,Andean Abyss,7.61
1150,Warhammer Quest,7.49
1151,Forum Trajanum,7.23
1152,Canopy,7.43
1153,1812: The Invasion of Canada,7.34
1154,Cockroach Poker Royal,7.06
1155,Risk: Star Wars Edition,7.01
1156,Rolling Realms,7.18
1157,Vanuatu,7.22
1158,Sons of Anarchy: Men of Mayhem,7.25
1159,For the People,7.78
1160,Fallout Shelter: The Board Game,7.26
1161,Fortune and Glory: The Cliffhanger Game,7.10
1162,Kingdomino Origins,7.59
1163,Power Grid: Factory Manager,6.84
1164,Mysterium Park,7.12
1165,Primordial Soup,6.93
1166,Machi Koro,6.61
1167,Massive Darkness,7.13
1168,The Game,6.71
1169,Fallout,6.92
1170,Whistle Stop,7.08
1171,La Isla,6.87
1172,Crisis,7.52
1173,No Retreat! The Russian Front,7.76
1174,Caylus Magna Carta,6.90
1175,Watson & Holmes,7.29
1176,Legend of the Five Rings: The Card Game,7.36
1177,Hansa,6.88
1178,Stick 'Em,7.05
1179,Circle the Wagons,7.09
1180,Claustrophobia 1643,8.03
1181,Blueprints,6.80
1182,Stella: Dixit Universe,7.31
1183,Plague Inc.: The Board Game,7.39
1184,Steam Park,6.84
1185,Witch's Brew,7.01
1186,World of Warcraft: Wrath of the Lich King,7.49
1187,Escape from the Aliens in Outer Space,6.93
1188,Exit: The Game – The Sinister Mansion,7.30
1189,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.30
1190,Tiny Epic Zombies,6.97
1191,Rise of Augustus,6.73
1192,Princes of the Renaissance,7.32
1193,Colossal Arena,6.77
1194,Fairy Tale,6.71
1195,Manoeuvre,7.29
1196,Level 7 [Omega Protocol],7.44
1197,Horrified: American Monsters,7.57
1198,Vikings Gone Wild,7.13
1199,Kraftwagen,7.23
1200,Council of 4,7.15
1201,Cleopatra and the Society of Architects,6.80
1202,Poker,6.71
1203,GIPF,7.09
1204,Cross Clues,7.27
1205,Spirits of the Wild,7.35
1206,Fleet,6.86
1207,Flick of Faith,7.38
1208,Ponzi Scheme,7.16
1209,Agra,7.31
1210,Claim,6.96
1211,Coffee Traders,7.76
1212,Castle Panic,6.65
1213,Hamburgum,7.05
1214,Dungeon Fighter,6.81
1215,Mythos Tales,7.36
1216,New York 1901,6.80
1217,Fief: France 1429,7.43
1218,Blokus Duo,6.82
1219,Odin's Ravens (Second Edition),7.01
1220,18Chesapeake,7.75
1221,Escape Room: The Game,6.95
1222,Thunderbolt Apache Leader,8.03
1223,A Touch of Evil: The Supernatural Game,6.98
1224,Las Vegas Royale,7.44
1225,Strasbourg,7.16
1226,Duelosaur Island,7.07
1227,Peloponnes,7.11
1228,Folklore: The Affliction,7.72
1229,Chronicles of Crime: 1900,8.06
1230,Carcassonne: South Seas,7.06
1231,Lockup: A Roll Player Tale,7.38
1232,1862: Railway Mania in the Eastern Counties,8.26
1233,Paris,7.27
1234,Ninjato,7.16
1235,Medieval Academy,6.94
1236,Arkadia,6.91
1237,Here I Stand: 500th Anniversary Edition,8.57
1238,Hacienda,6.92
1239,Exit: The Game – The Sunken Treasure,7.05
1240,Aeon's End: Outcasts,8.57
1241,Street Masters,8.01
1242,Café,7.32
1243,Santiago de Cuba,6.89
1244,The Golden Ages,7.26
1245,Smash Up: It's Your Fault!,7.50
1246,Maximum Apocalypse,7.53
1247,Castell,7.43
1248,Copenhagen,7.00
1249,Dorfromantik: The Board Game,7.85
1250,Royals,7.17
1251,Rattus,6.78
1252,Dungeon Twister,6.81
1253,A Game of Thrones: The Card Game,6.82
1254,Genotype: A Mendelian Genetics Game,7.53
1255,Betrayal at Baldur's Gate,7.10
1256,Java,7.01
1257,Ultimate Werewolf: Ultimate Edition,6.98
1258,Thunderbirds,7.55
1259,BattleTech,7.09
1260,Dead Man's Draw,6.85
1261,Mission: Red Planet,6.89
1262,Dice Throne,7.67
1263,Rise of Tribes,7.15
1264,The Magic Labyrinth,6.82
1265,The Werewolves of Miller's Hollow,6.70
1266,Elfenland,6.69
1267,It's a Wonderful Kingdom,7.37
1268,Sentient,7.20
1269,Carcassonne: Winter Edition,7.50
1270,"The Hunters: German U-Boats at War, 1939-43",7.73
1271,Brew,7.15
1272,Werewords Deluxe Edition,7.55
1273,Ulm,7.02
1274,Viceroy,6.80
1275,Liberty or Death: The American Insurrection,7.79
1276,Keythedral,7.05
1277,Super-Skill Pinball: 4-Cade,7.14
1278,Hostage Negotiator,6.81
1279,Dale of Merchants 2,7.30
1280,Medina,7.02
1281,The Initiative,7.62
1282,Tussie Mussie,6.95
1283,Trains: Rising Sun,7.42
1284,Ghost Blitz,6.71
1285,Timeline: Inventions,6.70
1286,Back to the Future: Back in Time,7.27
1287,Qwinto,7.01
1288,Ubongo,6.69
1289,Guildhall,6.89
1290,Hellboy: The Board Game,7.82
1291,Agropolis,7.43
1292,Merchant of Venus,7.14
1293,Liberté,7.12
1294,Evo,6.87
1295,The Fox in the Forest Duet,7.09
1296,Planet Steam,7.10
1297,Rialto,6.90
1298,Pictures,7.20
1299,Zombie Teenz Evolution,7.74
1300,Axis & Allies: Europe 1940,7.56
1301,Cahoots,7.15
1302,Saboteur,6.55
1303,Cartagena,6.69
1304,Dark Moon,6.99
1305,One Deck Dungeon: Forest of Shadows,7.13
1306,The Captain Is Dead,7.09
1307,Carnival of Monsters,7.27
1308,UBOOT: The Board Game,7.62
1309,Coloma,7.36
1310,Sylvion,7.07
1311,TransAmerica,6.68
1312,Skulls of Sedlec,7.44
1313,New Angeles,7.08
1314,Rallyman,7.19
1315,Fog of Love,6.72
1316,Fearsome Floors,6.67
1317,Catacombs,7.06
1318,Deep Madness,7.87
1319,KeyForge: Age of Ascension,7.24
1320,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,8.36
1321,Stardew Valley: The Board Game,7.38
1322,Maglev Metro,7.28
1323,Atiwa,7.59
1324,Mariposas,6.84
1325,Imhotep: The Duel,7.09
1326,The Castles of Burgundy: The Dice Game,6.89
1327,V-Sabotage,7.73
1328,Castles of Mad King Ludwig: Collector's Edition,8.42
1329,Wild Space,7.22
1330,Fire & Axe: A Viking Saga,6.99
1331,Warsaw: City of Ruins,7.33
1332,Heroes of Normandie,7.44
1333,War of the Ring: The Card Game,7.90
1334,Wings of War: Famous Aces,6.86
1335,SHŌBU,7.53
1336,Star Trek: Catan,6.99
1337,Pavlov's House,7.94
1338,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.69
1339,Keyper,7.28
1340,Similo,6.83
1341,Riftforce,7.35
1342,Starship Catan,6.84
1343,Unearth,6.85
1344,Exit: The Game – The Forgotten Island,6.93
1345,Eat Poop You Cat,7.46
1346,Habitats,7.38
1347,Mystery Rummy: Jack the Ripper,6.95
1348,Titan,6.96
1349,Bad Company,7.37
1350,Star Wars: Unlock!,7.09
1351,The Starfarers of Catan,6.80
1352,Advanced Squad Leader: Starter Kit #2,7.97
1353,Fireball Island: The Curse of Vul-Kar,6.79
1354,Edge of Darkness,7.50
1355,Museum,7.20
1356,The Thing: The Boardgame,7.70
1357,The Little Prince: Make Me a Planet,6.90
1358,Welcome to the Dungeon,6.55
1359,Kahuna,6.61
1360,Calimala,7.19
1361,Mykerinos,6.84
1362,Manhattan,6.73
1363,Villages of Valeria,7.00
1364,Doom: The Boardgame,6.85
1365,Room 25,6.71
1366,Porta Nigra,7.17
1367,Walking in Burano,7.13
1368,Mega Civilization,8.22
1369,Tournay,6.97
1370,Unlock!: Mythic Adventures,7.73
1371,Battle Line: Medieval,7.67
1372,The Staufer Dynasty,7.15
1373,Aftermath,7.62
1374,Spot it!,6.57
1375,Marrakesh,8.19
1376,Strike,6.93
1377,XenoShyft: Onslaught,6.92
1378,Cosmic Encounter,6.92
1379,Naga Raja,7.16
1380,Guillotine,6.54
1381,Say Anything,6.71
1382,Yukon Airways,7.35
1383,Gloom of Kilforth: A Fantasy Quest Game,7.54
1384,Gutenberg,7.41
1385,Kingdom Rush: Rift in Time,7.39
1386,Floriferous,7.55
1387,Unlock!: Escape Adventures – The Formula,7.01
1388,Murano,7.18
1389,Heroes of Terrinoth,7.29
1390,Stronghold: 2nd edition,7.47
1391,La Cosa Nostra,7.62
1392,Turn the Tide,6.78
1393,Exit: The Game – The Mysterious Museum,7.14
1394,Merkator,7.03
1395,CloudAge,7.27
1396,Keep the Heroes Out!,8.05
1397,Perseverance: Castaway Chronicles – Episodes 1 & 2,7.81
1398,Asara,7.00
1399,Agricola: Family Edition,7.07
1400,Barony,7.08
1401,Timeline: Events,6.77
1402,NEOM,7.30
1403,Ticket to Ride: Germany,7.60
1404,Encyclopedia,7.52
1405,Exit: The Game – The Polar Station,6.88
1406,Roll Camera!: The Filmmaking Board Game,7.58
1407,Mini Rogue,7.64
1408,Vagrantsong,7.75
1409,Warrior Knights,6.87
1410,Infinity Gauntlet: A Love Letter Game,7.02
1411,Pickomino,6.58
1412,The Quest for El Dorado: The Golden Temples,7.71
1413,Escape the Dark Castle,7.42
1414,Wyatt Earp,6.83
1415,Medina (Second Edition),7.21
1416,Paper Dungeons: A Dungeon Scrawler Game,7.21
1417,Beer & Bread,7.52
1418,Tempel des Schreckens,7.17
1419,Solenia,7.05
1420,Trails,7.11
1421,Escape Tales: The Awakening,7.07
1422,Pioneer Days,7.25
1423,Gravwell: Escape from the 9th Dimension,6.88
1424,Lost Cities: The Board Game,6.79
1425,Expedition to Newdale,7.42
1426,Dice City,6.73
1427,Hoplomachus: Victorum,8.70
1428,Trekking the World,7.12
1429,Balloon Cup,6.68
1430,Kitchen Rush (Revised Edition),7.54
1431,The Artemis Project,7.26
1432,Ishtar: Gardens of Babylon,7.02
1433,Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,7.86
1434,Quoridor,6.66
1435,Vampire: The Eternal Struggle,7.24
1436,Aton,6.86
1437,Rum & Bones: Second Tide,7.61
1438,Blue Moon,6.69
1439,Robo Rally,7.01
1440,Star Wars: Epic Duels,7.01
1441,Mascarade,6.58
1442,Ca$h 'n Gun$,6.56
1443,Viral,6.95
1444,Antike II,7.47
1445,DC Comics Deck-Building Game: Heroes Unite,7.39
1446,Rune Age,6.81
1447,Amyitis,6.91
1448,Food Chain Island,7.26
1449,Galaxy Defenders,7.44
1450,Backgammon,6.56
1451,De Vulgari Eloquentia,7.23
1452,Tides of Time,6.60
1453,Nanty Narking,7.51
1454,The 7th Continent: Classic Edition,7.65
1455,Illusion,6.75
1456,Löwenherz,7.03
1457,Imagine,6.87
1458,Le Havre: The Inland Port,6.82
1459,Valley of the Kings: Afterlife,7.24
1460,Bausack,6.80
1461,Ascending Empires,7.18
1462,Axis & Allies: Pacific 1940,7.52
1463,Wildcatters,7.60
1464,Machina Arcana (Second/Third Edition),8.01
1465,Roma,6.75
1466,Meuterer,6.87
1467,Beasty Bar,6.80
1468,Kodama: The Tree Spirits,6.69
1469,Kremlin,6.97
1470,Blokus 3D,6.78
1471,Haspelknecht: The Story of Early Coal Mining,7.23
1472,Onirim,6.64
1473,Super Mega Lucky Box,7.20
1474,Aladdin's Dragons,6.89
1475,Scotland Yard,6.50
1476,Carolus Magnus,6.83
1477,Bargain Quest,6.89
1478,Fields of Fire,7.87
1479,Stephenson's Rocket,6.91
1480,Nothing Personal,7.04
1481,Chronicles of Avel,7.71
1482,Exit: The Game – The Catacombs of Horror,7.33
1483,DOOM: The Board Game,7.42
1484,D-Day Dice,6.82
1485,Happy Salmon,6.70
1486,Eight-Minute Empire,6.56
1487,TEN,7.12
1488,Wallenstein (Second Edition),7.59
1489,Trapwords,6.98
1490,Timeline: General Interest,6.77
1491,Llamaland,7.35
1492,Sun Tzu,7.05
1493,Here to Slay,6.93
1494,Advanced Squad Leader: Starter Kit #3,8.05
1495,Blokus Trigon,6.89
1496,Factory Fun,6.80
1497,Dungeon Degenerates: Hand of Doom,8.15
1498,Tides of Madness,6.77
1499,Overboss: A Boss Monster Adventure,7.38
1500,Magic Realm,7.28
1501,Horizons of Spirit Island,8.43
1502,Coup: Rebellion G54,6.99
1503,Tramways,7.39
1504,Sleuth,6.90
1505,The Hunger,7.14
1506,Middle-earth,7.33
1507,Kashgar: Merchants of the Silk Road,7.08
1508,The Rose King,6.81
1509,Omen: A Reign of War,7.32
1510,Skulk Hollow,7.27
1511,Traders of Osaka,6.81
1512,Space Crusade,7.03
1513,BANG!,6.49
1514,Renature,7.13
1515,My Village,6.93
1516,Lands of Galzyr,8.27
1517,Gingerbread House,7.00
1518,Necromunda,7.30
1519,Miyabi,7.48
1520,6 nimmt! 25 Jahre,7.41
1521,Sheriff of Nottingham: 2nd Edition,7.34
1522,Hit Z Road,6.76
1523,Piepmatz,7.07
1524,Star Wars: Jabba's Palace – A Love Letter Game,7.27
1525,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.37
1526,Junta,6.69
1527,Yomi,6.94
1528,Indigo,6.85
1529,Pueblo,6.95
1530,Planet,6.68
1531,Sea Salt & Paper,7.26
1532,Indian Summer,6.78
1533,Path of Light and Shadow,7.42
1534,Karak,7.24
1535,Renegade,7.71
1536,Havana,6.85
1537,Evergreen,7.58
1538,I'm the Boss!,6.77
1539,Masmorra: Dungeons of Arcadia,7.04
1540,Sword of Rome,7.34
1541,Sabika,7.92
1542,The Witcher: Old World,8.27
1543,Curious Cargo,7.14
1544,Warhammer Quest: Blackstone Fortress,7.86
1545,Empire Builder,6.96
1546,Aerion,7.34
1547,Tortuga 1667,6.92
1548,Marrakech,6.69
1549,Shogi,7.39
1550,Rune Stones,7.28
1551,Pixel Tactics,6.85
1552,In the Shadow of the Emperor,6.86
1553,Patchistory,7.08
1554,Neanderthal,7.30
1555,Time's Up! Edición Amarilla,7.50
1556,RAF: The Battle of Britain 1940,8.03
1557,Campy Creatures,7.06
1558,The Scepter of Zavandor,6.97
1559,Power Grid: The First Sparks,6.77
1560,CV,6.59
1561,Pirate's Cove,6.56
1562,Stroganov,7.31
1563,Kingdoms,6.65
1564,Giants,6.96
1565,Doomtown: Reloaded,7.11
1566,Ascension: Immortal Heroes,7.33
1567,Welcome Back to the Dungeon,6.73
1568,Dice Settlers,6.92
1569,Aristeia!,8.20
1570,The Rich and the Good,7.10
1571,Codex: Card-Time Strategy – Deluxe Set,8.02
1572,Pagan: Fate of Roanoke,8.13
1573,Mü & More,7.15
1574,The Great Dalmuti,6.58
1575,Risk 2210 A.D.,6.68
1576,Oceanos,6.81
1577,Navajo Wars,7.94
1578,Olympos,6.91
1579,High Frontier,7.36
1580,Bloodborne: The Card Game,6.88
1581,The Bottle Imp,6.74
1582,Exit: The Game – The Forbidden Castle,6.81
1583,Spyfall 2,6.87
1584,1856: Railroading in Upper Canada from 1856,7.51
1585,Revolution!,6.72
1586,The Red Dragon Inn 2,6.92
1587,Northgard: Uncharted Lands,7.77
1588,Cosmic Encounter: 42nd Anniversary Edition,8.26
1589,Tiny Epic Kingdoms,6.56
1590,Harry Potter: Hogwarts Battle – Defence Against the Dark Arts,7.17
1591,Unlock!: Secret Adventures – The Adventurers of Oz,7.38
1592,Mystery of the Abbey,6.54
1593,Chocolate Factory,7.10
1594,Aquaretto,6.98
1595,Ingenious: Travel Edition,7.09
1596,Century: Golem Edition – An Endless World,7.59
1597,Ad Astra,6.86
1598,Fireteam Zero,7.50
1599,GKR: Heavy Hitters,7.61
1600,Disney Villainous: Despicable Plots,7.58
1601,Minecraft: Builders & Biomes,6.98
1602,Wars of the Roses: Lancaster vs. York,7.36
1603,1817,8.63
1604,Android,6.74
1605,1849: The Game of Sicilian Railways,8.18
1606,Railroad Ink Challenge: Shining Yellow Edition,7.60
1607,The Civil War 1861-1865,7.73
1608,Drop It,6.90
1609,Adventure Land,6.91
1610,Walnut Grove,6.97
1611,The Ancient World (Second Edition),7.56
1612,World of Warcraft: The Boardgame,6.70
1613,Ogre,6.94
1614,SET,6.50
1615,After the Empire,7.53
1616,Euthia: Torment of Resurrection,8.69
1617,Call of Cthulhu: The Card Game,6.89
1618,Sanctum,7.10
1619,Thanos Rising: Avengers Infinity War,7.10
1620,Age of Renaissance,7.09
1621,PitchCar Mini,6.97
1622,Oregon,6.76
1623,Arctic Scavengers,6.78
1624,Dice Miner,7.29
1625,Pergamon,6.91
1626,Bruxelles 1897,7.24
1627,Pendragon: The Fall of Roman Britain,7.93
1628,Axis & Allies,6.69
1629,Troyes Dice,7.05
1630,Bios: Megafauna (Second Edition),7.64
1631,Ys,6.89
1632,Adventure Games: The Dungeon,6.97
1633,Paint the Roses,7.30
1634,Challengers!,7.25
1635,On the Underground,6.90
1636,Cryo,7.31
1637,Power Struggle,6.98
1638,Endangered,7.54
1639,Beyond Balderdash,6.82
1640,Iwari,7.14
1641,Warfighter: The Tactical Special Forces Card Game,7.70
1642,A Study in Emerald (Second Edition),6.90
1643,The Climbers,6.79
1644,Otys,6.97
1645,Himalaya,7.00
1646,Timeline: Discoveries,6.71
1647,Century: Golem Edition – Eastern Mountains,7.38
1648,Rise of Empires,7.03
1649,Unconditional Surrender! World War 2 in Europe,8.12
1650,Kamisado,6.94
1651,Ave Caesar,6.63
1652,Human Punishment: Social Deduction 2.0,7.61
1653,Undaunted: Stalingrad,8.84
1654,Age of Civilization,7.06
1655,Sorcerer City,7.43
1656,After The Virus,7.28
1657,Puzzle Strike: Third Edition,7.18
1658,World in Flames,7.62
1659,Ride the Rails,7.20
1660,The Lord of the Ice Garden,7.63
1661,Burgle Bros 2: The Casino Capers,7.39
1662,Blood Bowl: Second Season Edition,8.54
1663,Dice Throne: Season Two – Gunslinger v. Samurai,7.57
1664,Tranquility,7.01
1665,Land vs Sea,7.20
1666,Resist!,7.72
1667,Dragonfire,7.12
1668,Bios: Origins (Second Edition),7.84
1669,Axis & Allies,6.57
1670,Successors (Third Edition),7.54
1671,Jungle Speed,6.48
1672,Sniper Elite: The Board Game,7.90
1673,"Artifacts, Inc.",6.75
1674,Mangrovia,7.17
1675,Key Flow,7.35
1676,Unlock!: Mystery Adventures – The House on the Hill,7.00
1677,Battle Cry: 150th Civil War Anniversary Edition,7.65
1678,Imaginarium,7.16
1679,New York Slice,6.71
1680,51st State,6.81
1681,Glasgow,7.17
1682,Abandon All Artichokes,6.65
1683,A House Divided: War Between the States 1861-65,7.08
1684,The Ancient World,6.99
1685,Legendary Encounters: A Firefly Deck Building Game,7.09
1686,Dungeon Mayhem,6.93
1687,The New Era,7.49
1688,Mordheim: City of the Damned,7.33
1689,Capital Lux,7.00
1690,Gulo Gulo,6.83
1691,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,7.19
1692,Samurai Spirit,6.61
1693,Carcassonne: Amazonas,7.05
1694,Metro X,7.14
1695,Sluff Off!,6.88
1696,Love Letter: Adventure Time,7.25
1697,Virus!,6.73
1698,Flip Ships,7.01
1699,Pharaon,7.39
1700,Tabannusi: Builders of Ur,7.41
1701,Paranormal Detectives,7.02
1702,Hare & Tortoise,6.63
1703,Normandy '44,7.90
1704,Cantaloop: Book 1 – Breaking into Prison,7.53
1705,Battle Sheep,6.61
1706,Anomia,6.68
1707,ICECOOL2,7.18
