rank,nome,nota
314,Tiny Epic Galaxies,7.34
315,Survive: Escape from Atlantis!,7.32
316,Lords of Hellas,7.71
317,Love Letter,7.22
318,Dead of Winter: The Long Night,7.55
319,Burgle Bros.,7.46
320,Awkward Guests: The Walton Case,7.61
321,The King's Dilemma,7.81
322,Bunny Kingdom,7.45
323,Destinies,7.79
324,Acquire,7.33
325,Aeon's End: The New Age,8.57
326,Arboretum,7.31
327,For Sale,7.24
328,Above and Below,7.38
329,Bitoku,7.90
330,Small World,7.22
331,Kemet: Blood and Sand,8.03
332,Lost Cities,7.22
333,BattleLore: Second Edition,7.69
334,Bonfire,7.70
335,Dungeon Lords,7.37
336,Return to Dark Tower,8.31
337,Merchants & Marauders,7.40
338,Nusfjord,7.65
339,Sid Meier's Civilization: The Board Game,7.38
340,The Great Zimbabwe,7.82
341,Tekhenu: Obelisk of the Sun,7.74
342,Mission: Red Planet (Second Edition),7.42
343,Bärenpark,7.31
344,Neuroshima Hex! 3.0,7.39
345,Letters from Whitechapel,7.36
346,Dixit,7.21
347,Hannibal: Rome vs. Carthage,7.78
348,Mysterium,7.24
349,The King Is Dead: Second Edition,7.68
350,Harry Potter: Hogwarts Battle,7.39
351,Chinatown,7.41
352,Takenoko,7.23
353,Star Wars: Armada,7.82
354,Ghost Stories,7.28
355,Agricola: All Creatures Big and Small,7.35
356,51st State: Master Set,7.62
357,The Resistance,7.23
358,Altiplano,7.48
359,Mage Wars Arena,7.59
360,Innovation,7.29
361,Ginkgopolis,7.51
362,Gizmos,7.39
363,Long Shot: The Dice Game,7.72
364,San Juan,7.24
365,Blood Bowl: Team Manager – The Card Game,7.39
366,Mind MGMT: The Psychic Espionage “Game.”,8.05
367,Imperium: Classics,7.73
368,Newton,7.57
369,Notre Dame,7.32
370,Gùgōng,7.46
371,At the Gates of Loyang,7.37
372,Carpe Diem,7.53
373,The Pillars of the Earth,7.27
374,Abyss,7.33
375,Skull King,7.49
376,Blood on the Clocktower,8.32
377,Furnace,7.44
378,Clank!: Catacombs,8.37
379,Evolution: Climate,7.52
380,Raiders of Scythia,7.79
381,Twice as Clever!,7.46
382,Pandemic: Fall of Rome,7.64
383,Saint Petersburg,7.28
384,Die Macher,7.60
385,Maria,7.98
386,Downforce,7.32
387,Endeavor,7.38
388,The Godfather: Corleone's Empire,7.53
389,Here I Stand,7.89
390,Love Letter,7.52
391,In the Year of the Dragon,7.31
392,Cloudspire,8.19
393,King of Tokyo,7.14
394,Ticket to Ride: Märklin,7.41
395,Bruxelles 1893,7.62
396,Tiny Towns,7.25
397,Azul: Stained Glass of Sintra,7.33
398,Sidereal Confluence,7.79
399,Schotten Totten,7.35
